rank,artist,title,region,language,spotify_uri,streams,weeks_on_chart,peak_rank,lyrics
46,Bad Bunny,VOY A LLeVARTE PA PR,Colombia,latin,59D4DOkspUbWyMmbAPQkxZ,653297,61,4,"Acho, PR es otra cosa
Yo la conocí en Miami, en Brickell
Ella sabe que aquí hay ticket
Quiere que yo se la aplique
Que pa' casa la trafique

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar (Ey, ey)

Aprovecha, quе estoy soltero (Ay), single
Míramе mal si quiere' que te singue
Te vo'a llevar pa' PR to' el finde
Despué' de mí va' a borrar Tinder
Y estoy suelto, mami, estoy suelto
Mírame ahora, perreando un experto
Estoy suelto, mami, estoy suelto, ey, ey, ey
Hoy la calle está prendía', hookah, pastilla molía'
Yo no pierdo tiempo, yo las cambio como ROSALÍA
La que me mira a los ojo' por cinco segundo' ya yo sé que es mía
¿Dónde están las mala'? Que son bienvenía'
'Toy puesto pa'l lío, dime si tú lía'
Tus amiga' y to' el corillo 'tán bien rica'
Pero ese culo tuyo, wow, sobresalía
Salimo' de la disco y estaba de día
Obviamente salí con la que quería, ey
Que viva la putería
Dale pa'trá', pa'trá', tan-tan, chulería, ey
Dime si te va' a montar, pa' la isla tengo el portal
Bien borracho' los tre', baby, a las do' me las vo'a llevar
Oh, oh, me quiere besar, ja, yo que la puse mal
Tírate fotitos ahora porque ahorita te vo'a despeinar
Yeah-eh-eh-eh-eh

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar, yeah

Yeah, sí, sí
Esto es PR, mami
Aquí nací yo y el reggaetón, pa' que sepa'
Ey, ey, ey
Voy cazando y muero perreando
Voy cazando y muero perreando
Voy cazando y muero perreando
Que bailen toa' las gata', nos fuimo' algarete
'Tás escuchando al que más le mete
Dale, mami, suéltate el grillete
Ponte en cuatro, que te vo'a dar fuete
Ponte en cuatro, que te vo'a dar fue—"
47,Arcángel,Hace Mucho Tiempo,Colombia,latin,0a6ogDrZBvYgDjILgsQVaJ,652301,122,47,"Uh, uh-uh-uh
Uh, uh-uh-uh, uh, uh

Hace mucho tiempo que quiero conocerte (Yes)
Mira que me han habla'o bien de ti
Tanto te vi en mis sueños que ya quiero tenerte
Sólita, exclusiva pa' mí (-siva pa' mí)
Hace mucho tiempo que quiero conocerte
Mira que me han habla'o bien de ti (Ajá)
Tanto te vi en mis sueños que ya quiero tenerte (Baby; tenerte)

Vino tinto, agua de mar
En la costa de Noruega, una aurora boreal
Fenómeno en el cielo difícil de no mirar
Así es ella, maravillosamente bella
Un historial de belleza como monumento en Grecia
Clásica como canal de Venecia
Fina, se distingue por su elegancia
En su mirada se le ve glamour en abundancia
Ella tiene lo que a otras les falta
Ella es de esas mujeres que resalta
Y si yo no la tengo a ella
Quiero a una como ella que cariño me reparta

Hace mucho tiempo que quiero conocerte (Yes)
Mira que me han habla'o bien de ti
Tanto te vi en mis sueños que ya quiero tenerte
Sólita, exclusiva pa’ mí (-siva pa' mí)
Hace mucho tiempo que quiero conocerte
Mira que me han habla'o bien de ti (Ajá)
Tanto te vi en mis sueños que ya quiero tenerte (Baby; tenerte)

Y suavemente siento que tu cuerpo consumo
Lentamente como el humo
Llegaste precisamente, mami, en el momento oportuno
Como el chocolate caliente en el desayuno (Ajá)
Como el sol cuando sale en la mañana
Y sus rayos penetrando tu ventana
De lejos siento tu cariño inmenso
De lejos siento tu calor intenso, prra
Eres valiosa como el oro de una mina
Dura como La Gran Muralla China
Nunca te he visto, mami, pero te conozco
Lo sé porque al soñar veo tu rostro, baby

Hace mucho tiempo que quiero conocerte (Yes)
Mira que me han habla'o bien de ti
Tanto te vi en mis sueños que ya quiero tenerte
Sólita, exclusiva pa' mí (-siva pa' mí)
Hace mucho tiempo que quiero conocerte
Mira que me han habla'o bien de ti (Ajá)
Tanto te vi en mis sueños que ya quiero tenerte (Baby; tenerte)

Yep, ahora sí, bien hecho
Yo soy y seguiré siendo ""La Maravilla""
La Marash (Arca)
Sentimiento, Elegancia y Maldad"
48,"Feid, ATL Jacob",LUNA,Colombia,latin,7bywjHOc0wSjGGbj04XbVi,650903,118,1,"Yeah, yeah, yeah
ATL Jacob, ATL Jacob

I'm looking for you and I don't know where you are, I'm looking for answers
When was the last time I saw you smile?
I called you ""my queen"", your legs were shaking
With you, the nights, no, they weren't for sleeping
Sometimes I ignore it
I smoke and drink alone
I always thought you shouldn't have left
You traded silver for gold, you were my treasure (treasure)

I didn't know what day you forgot about me
And, and me, and, and me of you
I didn't know what day you forgot about me
And, and me, and, and me of you
I didn't know what day you forgot about me
And, and of me, and, and of mе
I didn't know what day you forgot about me
And, and me, and, and me of you
I didn't know what day you forgot about mе

Sometimes I miss you, ma
I want to forgive you
Baby, you threw me to the canvas
You drained all of my stamina
Don't call me when you feel lonely
Baby, I know that you miss the cars too
Making love when you're wasted, yeah
It was all a lie when you used to tell me: ""Baby, I miss you""
That we'd last for years
Baby, your betrayal hurt
I wish this song would end and I'd finally forget about you

I'm looking for you and I don't know where you are, I'm looking for answers
When was the last time I saw you smile?
I called you ""my queen"", your legs were shaking

I didn't know what day you forgot about me
And, and me, and, and me of you
I didn't know what day you forgot about me
And, and me, and, and me of you
I didn't know what day you forgot about me
And, and of me, and, and of me
I didn't know what day you forgot about me
And, and me, and, and me of you
I didn't know what day you forgot about me

Yeah
Ah-ah-ah"
49,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,Colombia,latin,2pbSCYzxrG0wa6qcj8IyiE,646278,12,36,
50,Kris R.,MIL D AURA,Colombia,latin,0LvxvoeJmdhkxRIC4orlJ3,645266,3,21,"Eh
Hola, bebé
Sé que de pronto es muy tarde y me dan ganas de ir a buscarte
Y que no soy bienvenido en tu casa, dijeron tus padre'
Si no voy, es por respeto, no porque sea un cobarde
La chimba, no vo'a aguantarme

Tus viejos no te quieren conmigo
Dicen que soy maleante porque mantengo con bandido'
Y yo buscando efectivo pa' verme un ratito contigo
Tengo que apretar, si el mundo te quiero comprar
Por ti, amor, soy capaz de matar (Al quе sea)
Tus viejos no te quiеren conmigo
Dicen que soy maleante porque mantengo con bandido'
Y yo buscando efectivo pa' verme un ratito contigo
Tengo que apretar, si el mundo te quiero comprar
Por ti, amor, soy capaz de matar (Al que sea)

Contigo puedo caminar
Pero sé que mañana en un Mercedes vamos a estar
Y lo que te quieras comprar
Tranquila, reina, que con el tiempo te lo voy a dar
Yo soñaba con una como tú desde la escuela
Escuchando Cosculluela
Todo chimba ilusionado de tenerla
Y ahora que te tengo, la vida es más bella
Y no es el dinero, eres tú (Sí)
Ya no es en nada pasajero, contigo estoy en mi mood
Así tus viejos no me quieran
No me azara, la que me importa eres tú

Tus viejos no te quieren conmigo
Dicen que soy maleante porque mantengo con bandido'
Y yo buscando efectivo pa' verme un ratito contigo
Tengo que apretar, si el mundo te quiero comprar
Por ti, amor, soy capaz de matar (Al que sea)

Mami, me tiene la cabeza dando vuelta'
Yo pensando en una vuelta pa' sacarte a dar la vuelta
Y qué vuelta, que su cucha to' lo mío lo cuenta
Imposible que en to' este tiempo no se ha dado cuenta
Que yo estoy pa' ti y pa' nadie más, soy tu paño de lágrimas
Y cuando tengo el ánimo en el piso, tú me reanimas
Un chorrito, por ti y por las ánimas
Como dijo Blessd, no tengo carro, mor, te invito a caminar
Una como tú, ¿me extraña'? Mor, me too
No tenía pa' darte ni chimba, ahora te compro Jimmy Choo
Aura, eso es lo que transmite usted
Estoy a su disposición, a su merced

Mor, me siento bien, dime si tú no
Cuando estamos los dos se va volando el tiempo
(Qué chimba cómo te siento)
Mor, me siento bien, dime si tú no
Cuando estamos los dos se va volando el tiempo
(Hasta en mis sueños te encuentro)

Tus cuchos no te quieren conmigo
Jajaja
Sisas, La K
El trap de Medallo, el trap de Colombia
¿Ah?
Una valija en sentimiento, ma
Háblales, Prime
Monja, don't got mercy on these niggas
Háblales, Deezy
Money Makers
Nelsen
En la melodía, en el lápiz
Mor, tú sabes que esta combi es pa' ti, jajaja
Yeah"
51,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,Colombia,latin,7sRXb5IgYWwVv1DaavHSNs,643436,27,1,"Jaja, Ave María, mi amor
O-O-Ovy On The Drums
Como Oreo de fresita tiene esa carita
Y me puse malote y quiero una mordidita
Niña fresa, se las daba de santita
Y si no llamo, ella me llama pa' que choque esas nalguita'
Y si no llamo, ella me llama pa' que choque esas—

Hace tiempo te miraba por ahí (Por ahí)
Y yo noté que también tú mirabas
Mirabas, mirabas, mirabas
Na-na-na-na-na-na-na
Con el cora roto te cogí (Te cogí)
Y con el gusto que tú gritabas
Gritabas, gritabas, gritabas
Na-na-na-na-na-na-na

Yeah, yeah, chulita, ¿qué fue?
Dime, dime, ¿cómo quiere el Patek? Yeah, yeah
Y la troca también, bebé, bebé
Ese culito yo le pongo anillo de seguridad
Carita de ángel y una diabla en la intimidad
En negra mate blindada pa' que andemos en la ciudad
Y un convoy de setenta por si nos toca disparar (Prr)
Está operadita, eso a mí me fascina
Y ese culo resalta cuando entra en la piscina
Y un poco de lavada pa' que la fiesta esté fina
Y ella e' mi paisita, la quiero, a mí me domina

Se dio, se dio después de to'-to'-to'-to'-to'
Todo lo que chambeé-bé-bé-bé-bé
Vamo' hasta abajo, bien duro, como la última vez
Se dio, se dio después de todo, to'-to'-to'-to'-to'
Todo lo que chambeé-bé-bé-bé-bé
Vamo' hasta abajo, bien duro, como la última vez

Hace tiempo te miraba por ahí (Por ahí)
Y yo noté que también tú mirabas
Mirabas, mirabas, mirabas
Na-na-na-na-na-na-na
Con el cora roto te cogí (Te cogí)
Y con el gusto que tú gritabas
Gritabas, gritabas, gritabas
Na-na-na-na-na-na-na

Hola, mi amor, soy yo de nuevo
Mintiendo que estás sola y que ya no tiene' jevo
Y el volverte a meter, mami, es mi mayor anhelo
Sabes que yo estoy rico y para usted todo melo (Jaja)
Gucci, Prada con Van Cleef, para usted un final feliz
Ya me apliqué la Chantal de rosa pa' su nariz
Te-Tengo mela la G-Wa pa' robármele unos kiss
Y vamos pa' la parte atrá' y cometemos un desliz
Please, eres mi pornstar, eres mi actriz
Yo te compro y te quito, ma, la Louis V
Parchamos en Mykonos, en el jet ski
En aviones privados, solo para ti (Ja)

Hace tiempo te miraba por ahí (Por ahí)
Y yo noté que también tú mirabas
Mirabas, mirabas y mirabas
Na-na-na-na-na-na-na
On el cora roto te cogí (Te cogí)
Y con el gusto que tú gritabas
Gritabas, gritabas, gritabas
Na-na-na-na-na-na-na

Uh, Fuerza Regida
Compa Bendito
Dímelo, Jara
Andamo' a la puta orden, viejo
Siempre Blessd
Usted se la sabe
Arriba la Empresa SM, viejo
Jaja
Fuerza Regida
Ovy On The Drums"
52,Plan B,Es un Secreto,Colombia,latin,3KZCP2StVGdWkOKyRZNWA4,641795,266,18,"Será cuestión de tiempo (Presentimiento)
De un lugar, de un momento
Conozco tu debilidad, cómo haces para envolverte
Si no es hoy, mañana tal vez, pero algún día voy a tenerte
Tengo la capacidad sin que me hables, de entenderte
Yo sé lo que trae' en tu mente, que estás loca por tenerme

Es un secreto de tu mirada y la mía
Un presentimiento, como un ángel que me decía
Es un secreto de tu mirada y la mía
Un presentimiento, como un ángel que me decía

Será cuestión de tiempo, de un lugar, de un momento
De una palabra, de un encuentro, de una noche, de un intento
Tranquilito, confiando en lo que creo
Tu mente me llama, me llama y yo le contesto
Mi mente te piensa y con el deseo la alimento
Yo sé que estamo' cerca de que pase el suceso
De una historia, de un recuerdo

Es un secreto de tu mirada y la mía
Un presentimiento, como un ángel que me decía
Es un secreto de tu mirada y la mía
Un presentimiento, como un ángel que me decía

Tú sabes que naciste pa' mí, tú eres mi gusto, mi flow
Lo mismo te pasa a ti, cuando estás cerquita de mí
El deseo es tanto que quema por dentro
Sin decir nada, haciéndolo lento
Mientras me deleito, aprovecha el momento
Mami, mami

Tú eres una Barbie, muñeca, princesa y no es de Mattel
Tú eres perfecta, tu cara, tu cuerpo, tus ojos también tu piel
Te quiero completa, ven, baila sensual, así te quiero ver (Te quiero ver)
Juntito', solito' nos vamo' a complacer
Tú eres una Barbie, muñeca, princesa y no es de Mattel
Tú eres perfecta, tu cara, tu cuerpo, tus ojos también tu piel
Te quiero completa, ven, baila sensual, así te quiero ver (Te quiero ver)
Juntito', solito' nos vamo' a complacer (-cer-cer)

Es un secreto de tu mirada y la mía
Un presentimiento, como un ángel que me decía
Es un secreto de tu mirada y la mía
Un presentimiento, como un ángel que me decía

(Haze) Haze
Plan B, Pina
La Casa del Placer
(Es un secreto de tu mirada y la mía)
(Un presentimiento)"
53,Yeison Jimenez,MLP,Colombia,latin,4DAMvNqHt0s8zJr6JwOoye,641764,12,8,"Dicen que es suerte
Pero no saben toda la que me he comido
Algunos dicen que yo soy un presumido
Yo los entiendo y sé que hay muchos ofendidos
Y me vale madre
Más de diez años y conmigo no han podido
Aventurero, embilletado y bendecido
Soy el más joven y parecen hijos míos

Que sigan hablando, yo aquí facturando
Los perros ladrando y la cuenta llenando
Y pa' que les duela
Yo sigo cantando

Ya me cansé de callarles la boca
Soy еl original y ustedes una copia
Tampoco me importa si еstán ofendidos
Camino de frente, yo sigo en lo mío
¿De dónde es que sale?
Tanto malparido

¡Yeison Jiménez!
Con el corazón

Que sigan hablando, yo aquí facturando
Los perros ladrando y la cuenta llenando
Y pa' que les duela
Yo sigo cantando

Ya me cansé de callarles la boca
Soy el original y ustedes una copia
Tampoco me importa si están ofendidos
Camino de frente, yo sigo en lo mío
¿De dónde es que sale?
Tanto malparido

¡Y esto es con mucho cariño!
Pa' todo el que le duele ver un pobre progresando en la vida
¡Yeison Jiménez!

Camino de frente, yo sigo en lo mío
¿De dónde es que sale?
*Silbido*"
54,"Blessd, Los Money Makers, Prodmonja",URUS BLUE,Colombia,latin,4sTnItbNUAcS5KDG6vTA5B,632957,40,22,"¿Y usted qué va a hacer con esa plata?
Pa' llevarla a usted a ver los alumbrados, al pueblito paisa

¿Entonces qué, mi amor? (Jaja)
Soy más de guaro, pero por usted le juro que me tomo los vinos
Esa sonrisa, esa boquita y sus ojitos los combino conmigo
¿Usted dónde está?
Dame unos minuto', matamo' la ansiedad
No va a perder el tiempo, se lo aseguro
Qué rico hacerlo con usted en lo oscuro
Hola, mi amor, traje un baretico de indoor
Pa' que nos lo fumemo' en una tarde de sol
Nos vamos pa' Guatapé, allá la pongo a hacer surf
Y después en la cabaña, yo le hago el amor (Qué rico, mi cielo)
Yo la llevo al gimnasio
Y le compro un Patek pa' que cambie ese Casio (Oh)
Pero me lo haces despacio (Ave María, mi amor)
Y te rizo ese cabello, así tú lo traiga' lacio
Mami, de ese culo soy dueño
No sé por qué desde pequeño me gusta lo ajeno (Jaja)
Me enamoró tanto que le pagué el diseño
Compré la CX-30 y le operé hasta los seno'
Qué rico es verla, sentirla encima 'e mí
Decirle que me encanta porque creo que yo nací pa' ti, sí
Sabes, bebé, que contigo yo soy feliz
Si quieres, viajamo' el mundo y la fotico por París
Bien perfuma'o, siempre Louis Vui la loción
Si se me maneja bien, yo le doy su mansión
A ese culito yo le tengo admiración (¿Por qué?)
Porque en la cama es ejemplo 'e superación

Tú y yo haciendo el after party
Fumando mari (Mari)
Con un puesto de Cali (En California, mami)
En la Urus, bebé
Tú y yo haciendo el after party (Party)
Fumando mari (Mari)
Con un puesto de Cali (California, mi amor)
En la Urus, bebé

Vuelo privado, nada de Avianca o Spirit (Jamás)
Pídeme ayuda a mí, no le digan a Siri
Pa' ti son to'as mis letras, ma, son toda' mis lyrics (Jaja)
Y te cotizo como Anuel con Amiri (Brr)
Bebé, vámono' a vacacionar (Jaja)
Que la cuenta mía es como la de Neymar (Qué chimba)
Si tú quiere' to' te lo puedo comprar (¿Qué quieres?)
Yo te regalo, solo tú tiene' que hablar (Ah, listo)
¿Qué es lo que quiere? ¿La Dolce? ¿La Gucci? ¿La Prada?
¿La Balenciaga? Yo a ti te la doy (Se la compro)
Sabe' que quieres hacerlo conmigo
Y si tú me llamas un bebé, aquí yo estoy (Rico)

Tú y yo haciendo el after party (¿Cómo así?)
Fumando mari
Con un puesto de Cali
En la Urus, bebé (En la Urus, mi cielo)
Tú y yo haciendo el after party (¿El after qué?)
Fumando mari (Ay, Dios mío)
Con un puesto de Cali (Jaja)
En la Urus, bebé

Pues, ¿qué te cuento?, ¿qué te puedo decir?
Si lo de nosotros es una chimba
No tenemos que envidiarle nada a nadie, porque to' lo tenemos
El único complemento para yo poderme sentirme satisfecho
Son unos besitos tan lindos que usted me da, mi corazón (Ave María, mi amor)
Money Makers (Money Makers)
Siempre Blessd, y esto es pa' ti, tú sabes quién
Dímelo, Jara
Desde el Barrio Antioquia
Ey, Jose, candela
Monja (Don't got mercy on these niggas)
Ah-ah-ah
Ave María, mi amor, si usted supiera
Ay, que vuelva a escuchar la canción"
55,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Colombia,latin,0JoHqmlqE0W0i9prt6kcHR,625925,133,16,"Ya no sé qué hacer
